"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"DL1480, DL66","JFK","FCO","delta","10/21 3:40PM","10/22 10:50AM","790","1","Boeing 737-900, Airbus A330-900neo","ATL","41400","","8","","","","5.60","USD","0","","","","","","","","0","","5","","","","5.60","USD","0","","","","","","",""
"AF9, AF1304","JFK","FCO","delta","10/19 11:30PM","10/20 4:35PM","665","1","Boeing 777-300ER, Airbus A220","CDG","37000","","9","","","","24.60","USD","0","","","","","","","","0","","9","","","","24.60","USD","0","","","","","","",""
"AF11, AF1404","JFK","FCO","delta","10/19 1:00AM","10/19 7:05PM","725","1","Airbus A350-900, Airbus A220","CDG","37000","","9","","","","24.60","USD","0","","","","","","","","0","","9","","","","24.60","USD","0","","","","","","",""
"DL230","JFK","FCO","delta","10/27 9:45PM","10/28 11:00AM","495","0","Airbus A330-300","","29900","","9","","","","5.60","USD","0","","9","","","","5.60","USD","0","","9","","","","5.60","USD","0","","","","","","",""
"AF1, AF1104","JFK","FCO","flyingblue","11/01 4:30PM","11/02 11:45AM","795","1","Boeing 777-300ER, Airbus A320","CDG","57500","","9","","","","157.10","USD","0","","9","","","","250.00","USD","0","","9","","","","366.10","USD","0","","","","","","",""
"AF9, AF1304","JFK","FCO","flyingblue","11/03 11:30PM","11/04 6:25PM","775","1","Boeing 777-200, Airbus A320","CDG","25000","","9","","","","156.19","USD","0","","","","","","","","0","","9","","","","363.70","USD","0","","","","","","",""
"DL5733, DL112","JFK","FCO","delta","10/13 9:59AM","10/14 6:50AM","891","1","Embraer E175, Airbus A330-300","BOS","29900","","9","","","","5.60","USD","0","","","","","","","","0","","6","","","","5.60","USD","0","","","","","","",""
"AF9, AF1304","JFK","FCO","flyingblue","10/26 12:30AM","10/26 6:25PM","775","1","Boeing 777-300ER, Airbus A320","CDG","25000","","9","","","","156.30","USD","90000","","9","","","","248.50","USD","150500","","9","","","","363.90","USD","0","","","","","","",""
"AF11, AF1604","JFK","FCO","delta","10/14 1:00AM","10/14 5:30PM","630","1","Airbus A350-900, Airbus A220","CDG","37000","","9","","","","24.60","USD","0","","","","","","","","0","","8","","","","24.60","USD","0","","","","","","",""
"AF1, AF1104","JFK","FCO","flyingblue","10/14 4:30PM","10/15 11:25AM","775","1","Airbus A350-900, Airbus A320","CDG","25000","","9","","","","156.30","USD","90000","","8","","","","248.50","USD","0","","2","","","","363.90","USD","0","","","","","","",""
"KL642, KL1603","JFK","FCO","flyingblue","10/12 4:40PM","10/13 11:45AM","785","1","Boeing 787-10, Airbus A321neo","AMS","18750","","9","","","","167.90","USD","90000","","9","","","","260.10","USD","0","","3","","","","375.50","USD","0","","","","","","",""
"DL5595, DL112","JFK","FCO","delta","10/19 2:00PM","10/20 6:50AM","650","1","Embraer E175, Airbus A330-300","BOS","29900","","9","","","","5.60","USD","0","","","","","","","","0","","9","","","","5.60","USD","0","","","","","","",""
"DL2751, DL206","JFK","FCO","delta","10/25 12:59PM","10/26 9:35AM","936","1","Airbus A319, Airbus A330-300","DTW","29900","","9","","","","5.60","USD","0","","","","","","","","0","","5","","","","5.60","USD","0","","","","","","",""
"KL642, KL1603","JFK","FCO","flyingblue","11/01 5:00PM","11/02 11:55AM","775","1","Boeing 787-10, Boeing 737-900","AMS","97000","","9","","","","168.80","USD","0","","9","","","","261.70","USD","0","","8","","","","377.80","USD","0","","","","","","",""
"DL230","JFK","FCO","delta","10/14 7:25PM","10/15 10:05AM","520","0","Airbus A330-300","","29900","","9","","","","5.60","USD","0","","","","","","","","0","","9","","","","5.60","USD","0","","","","","","",""
"DL182","JFK","FCO","delta","11/05 5:25PM","11/06 7:45AM","500","0","Airbus A330-300","","39600","","9","","","","5.60","USD","135900","","7","","","","5.60","USD","0","","9","","","","5.60","USD","0","","","","","","",""
"KL642, KL1601","JFK","FCO","flyingblue","10/22 4:40PM","10/23 9:35AM","655","1","Boeing 787-10, Airbus A321neo","AMS","25000","","9","","","","169.00","USD","89500","","5","","","","261.89","USD","149500","","2","","","","378.10","USD","0","","","","","","",""
"AF7, AF1504","JFK","FCO","flyingblue","11/03 9:30PM","11/04 3:00PM","690","1","Boeing 777-300ER, Airbus A320","CDG","48500","","9","","","","156.19","USD","90500","","6","","","","248.40","USD","0","","4","","","","363.70","USD","0","","","","","","",""
"DL230","JFK","FCO","delta","10/18 7:25PM","10/19 10:05AM","520","0","Airbus A330-300","","29900","","9","","","","5.60","USD","119500","","9","","","","5.60","USD","0","","8","","","","5.60","USD","0","","","","","","",""
"AF3, AF1104","JFK","FCO","flyingblue","10/18 5:30PM","10/19 11:25AM","715","1","Boeing 777-300ER, Airbus A320","CDG","28000","","2","","","","156.19","USD","90500","","9","","","","248.40","USD","0","","7","","","","363.70","USD","0","","","","","","",""
"AF1, AF1104","JFK","FCO","flyingblue","11/05 4:30PM","11/06 11:45AM","795","1","Boeing 777-300ER, Airbus A320","CDG","25000","","2","","","","157.19","USD","89500","","9","","","","250.10","USD","0","","4","","","","366.30","USD","0","","","","","","",""
"MS986, MS791","JFK","FCO","aeroplan","11/04 12:45PM","11/05 12:30PM","1065","1","Boeing 777-300, Boeing 737-800","CAI","60000","","4","","","","89.60","CAD","0","","","","","","","","90000","","2","","","","89.60","CAD","0","","","","","","",""
