"Flight Numbers","Origin Airport","Destination Airport","Mileage Program","Departure Time","Arrival Time","Duration (minutes)","Stops","Aircraft","Connections","Economy Miles","Economy Direct Miles","Economy Seats","Economy Direct Seats","Economy Carriers","Economy Direct Carriers","Economy Taxes","Economy Taxes Currency","Premium Economy Miles","Premium Economy Direct Miles","Premium Economy Seats","Premium Economy Direct Seats","Premium Economy Carriers","Premium Economy Direct Carriers","Premium Economy Taxes","Premium Economy Taxes Currency","Business Miles","Business Direct Miles","Business Seats","Business Direct Seats","Business Carriers","Business Direct Carriers","Business Taxes","Business Taxes Currency","First Miles","First Direct Miles","First Seats","First Direct Seats","First Carriers","First Direct Carriers","First Taxes","First Taxes Currency"
"DL299, DL2692","FCO","JFK","delta","10/14 2:45PM","10/14 11:47PM","902","1","Airbus A330-900neo, Airbus A220","MSP","105000","","9","","","","60.52","EUR","0","","","","","","","","0","","7","","","","60.52","EUR","0","","","","","","",""
"BA565, BA173","FCO","JFK","qantas","10/13 6:50AM","10/13 2:25PM","815","1","","LHR","0","","","","","","","","0","","","","","","","","90000","","3","","","","793.98","EUR","0","","","","","","",""
"AF1105, AF10","FCO","JFK","flyingblue","10/18 12:30PM","10/18 8:45PM","855","1","Airbus A320, Boeing 777-300ER","CDG","57000","","4","","","","224.83","USD","0","","9","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"KL1602, KL643","FCO","JFK","flyingblue","10/20 10:35AM","10/20 7:15PM","880","1","Airbus A321neo, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","0","","9","","","","321.52","USD","0","","9","","","","455.43","USD","0","","","","","","",""
"AF1205, AF10","FCO","JFK","flyingblue","10/29 10:20AM","10/29 9:55PM","995","1","Airbus A320, Boeing 777-300ER","CDG","47500","","5","","","","224.73","USD","0","","9","","","","321.52","USD","0","","5","","","","455.33","USD","0","","","","","","",""
"AF1205, AF8","FCO","JFK","flyingblue","10/18 10:00AM","10/18 6:45PM","885","1","Airbus A320, Boeing 777-300ER","CDG","57000","","4","","","","224.83","USD","0","","7","","","","321.63","USD","0","","9","","","","455.53","USD","0","","","","","","",""
"KL1604, KL643","FCO","JFK","flyingblue","10/19 12:45PM","10/19 7:15PM","750","1","Airbus A321neo, Boeing 787-10","AMS","25500","","3","","","","224.63","USD","0","","9","","","","321.43","USD","0","","6","","","","455.23","USD","0","","","","","","",""
"DL207, DL2934","FCO","JFK","delta","10/21 9:00AM","10/21 6:07PM","907","1","Airbus A330-300, Airbus A319","DTW","49000","","9","","","","60.49","EUR","0","","","","","","","","0","","3","","","","60.49","EUR","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","11/03 6:10AM","11/03 3:00PM","890","1","Boeing 737-900, Boeing 787-10","AMS","18750","","9","","","","224.73","USD","88500","","8","","","","321.52","USD","148000","","3","","","","455.43","USD","0","","","","","","",""
"KL1600, KL641","FCO","JFK","flyingblue","10/26 6:10AM","10/26 4:00PM","890","1","Boeing 737-900, Boeing 787-10","AMS","40500","","9","","","","226.33","USD","0","","9","","","","323.93","USD","0","","9","","","","458.73","USD","0","","","","","","",""
